index,基金代码,基金名称,申购费率,基金类型,基金风险,基金规模,成立日,基金经理,基金公司,投资股票,投资债券
1919,002996-,长信稳健纯债债券A,0.06,债券型-长债,中低风险,9.56亿元（2021-09-30）,1481558400,陆莹等,长信基金,~,~
1920,002997-,工银瑞享纯债债券,0.08,债券型-长债,中低风险,27.87亿元（2021-09-30）,1472054400,何秀红,工银瑞信基金,~,~
1921,003002-,国金及第中短债债券,0.00,债券型-中短债,中低风险,1.01亿元（2021-09-30）,1470240000,徐艳芳,国金基金,~,~
1922,003004-,招商睿祥定开混合,0.15,混合型-偏债,中高风险,0.58亿元（2021-09-30）,1472486400,贾仁栋,招商基金,000739 300850 688598 300059 300750 300627 002345 603659 600958 300073,"1.018008,1.019654,0.123111"
1923,003009-,中融盈泽中短债A,0.03,债券型-中短债,中低风险,0.31亿元（2021-09-30）,1490544000,王玥,中融基金,~,"1.019654,1.018008"
1924,003010-,中融盈泽中短债C,0.00,债券型-中短债,中低风险,0.09亿元（2021-09-30）,1490544000,王玥,中融基金,~,"1.019654,1.018008"
1925,003013-,中融恒泰纯债A,0.06,债券型-长债,中低风险,4.81亿元（2021-09-30）,1482768000,李倩,中融基金,~,~
1926,003014-,中融恒泰纯债C,0.00,债券型-长债,中低风险,0.00亿元（2021-09-30）,1482768000,李倩,中融基金,~,~
1927,003015-,中金沪深300A,0.10,指数型-股票,高风险,2.40亿元（2021-09-30）,1469116800,耿帅军,中金基金,600519 601318 000858 600036 300059 603259 601166 601888 000001 000725,1.019654
1928,003016-,中金中证500A,0.10,指数型-股票,高风险,2.56亿元（2021-09-30）,1469116800,耿帅军,中金基金,000799 002340 002074 600089 600141 601233 601636 002353 603260 600188,"1.019654,1.019649,1.019641,1.018006"
1929,003017-,广发中证军工ETF联接A,0.12,指数型-股票,高风险,7.02亿元（2021-09-30）,1474819200,霍华明,广发基金,600893 600760 000733 002013 002179 000768 002414 601989 300699 300474,~
1930,003023-,博时景发纯债债券,0.08,债券型-长债,中低风险,4.26亿元（2021-09-30）,1470153600,陈黎,博时基金,~,0.149250
1931,003024-,平安惠金定开债A,0.08,债券型-长债,中低风险,2.83亿元（2021-09-30）,1478016000,田元强,平安基金,~,"1.163236,1.188102,0.149639"
1932,003025-,新华红利回报混合,0.15,混合型-偏股,中高风险,6.78亿元（2021-09-30）,1490544000,姚海明等,新华基金,000651 600285 300413 600887 000002 601318 601899 000333 000999 002001,~
1933,003026-,安信新价值混合A,0.08,混合型-灵活,中高风险,1.66亿元（2021-09-30）,1471536000,钟光正等,安信基金,600905 600048 601001 601225 600309 600483 600036 601669 600188 600438,"1.175035,1.152409,1.163477,1.113044"
1934,003027-,安信新价值混合C,0.00,混合型-灵活,中高风险,0.98亿元（2021-09-30）,1471536000,钟光正等,安信基金,600905 600048 601001 601225 600309 600483 600036 601669 600188 600438,"1.175035,1.152409,1.163477,1.113044"
1935,003028-,安信新优选混合A,0.08,混合型-灵活,中高风险,0.05亿元（2021-09-30）,1469635200,庄园等,安信基金,600048 002867 601668 002508 600612 600519 002120 000661 601088 601939,1.110059
1936,003029-,安信新优选混合C,0.00,混合型-灵活,中高风险,3.72亿元（2021-09-30）,1469635200,庄园等,安信基金,600048 002867 601668 002508 600612 600519 002120 000661 601088 601939,1.110059
1937,003030-,安信新目标混合A,0.08,混合型-灵活,中高风险,3.19亿元（2021-09-30）,1470672000,聂世林等,安信基金,600690 600519 601899 600905 000333 600036 600048 600383 600438 600887,1.143087
1938,003031-,安信新目标混合C,0.00,混合型-灵活,中高风险,4.50亿元（2021-09-30）,1470672000,聂世林等,安信基金,600690 600519 601899 600905 000333 600036 600048 600383 600438 600887,1.143087
1939,003032-,平安医疗健康混合,0.15,混合型-灵活,高风险,1.98亿元（2021-09-30）,1511452800,神爱前,平安基金,603259 300363 300725 300685 300347 000739 002821 300171 601567 603456,0.127030
1940,003037-,广发集瑞债券A,0.0,债券型-混合债,~,7.40亿元（2021-09-30）,1479398400,郎振东等,广发基金,002812 600389 601877 601012 600809 002531 002466 600328 600438 002648,1.163883
1941,003038-,广发集瑞债券C,0.0,债券型-混合债,~,0.38亿元（2021-09-30）,1479398400,郎振东等,广发基金,002812 600389 601877 601012 600809 002531 002466 600328 600438 002648,1.163883
1942,003039-,广发集富纯债A,0.08,债券型-长债,中低风险,10.12亿元（2021-09-30）,1484236800,吴迪,广发基金,~,~
1943,003040-,广发集富纯债C,0.00,债券型-长债,中低风险,0.05亿元（2021-09-30）,1484236800,吴迪,广发基金,~,~
1944,003041-,鑫元得利债券,0.0,债券型-长债,~,10.55亿元（2021-09-30）,1471363200,黄轩,鑫元基金,~,~
1945,003044-,东方红战略精选混合A,1.00,混合型-偏债,中风险,43.75亿元（2021-09-30）,1472486400,纪文静等,东方红资产管理,002415 002475 600031 300059 300122 300750 601012 002304 601615 600887,"1.019649,0.112823"
1946,003045-,东方红战略精选混合C,0.00,混合型-偏债,中风险,6.09亿元（2021-09-30）,1472486400,纪文静等,东方红资产管理,002415 002475 600031 300059 300122 300750 601012 002304 601615 600887,"1.019649,0.112823"
1947,003050-,农银汇理金丰一年定开债,0.08,债券型-长债,中低风险,11.64亿元（2021-09-30）,1471190400,史向明,农银汇理基金,~,"1.155814,0.112979"
1948,003051-,农银汇理金利一年定开债,0.08,债券型-长债,中低风险,5.31亿元（2021-09-30）,1478016000,史向明,农银汇理基金,~,1.155814
1949,003053-,嘉实文体娱乐股票A,0.15,股票型,高风险,1.01亿元（2021-09-30）,1473177600,张丹华等,嘉实基金,002415 300454 300750 002049 300661 688368 002371 603501 300077 603039,~
1950,003054-,嘉实文体娱乐股票C,0.00,股票型,高风险,0.43亿元（2021-09-30）,1473177600,张丹华等,嘉实基金,002415 300454 300750 002049 300661 688368 002371 603501 300077 603039,~
1951,003056-,嘉实稳泽纯债债券,0.0,债券型-长债,~,8.38亿元（2021-09-30）,1473696000,常逍遥,嘉实基金,~,~
1952,003059-,长信先利半年定开混合A,0.12,混合型-偏债,中风险,0.20亿元（2021-09-30）,1473177600,倪伟,长信基金,600745 000001 601166 002810 002585 601012 600989,"1.019649,1.110081,0.123123,0.123124,0.128141"
1953,003062-,银华通利混合A,0.10,混合型-灵活,中高风险,5.02亿元（2021-09-30）,1470326400,赵楠楠,银华基金,600577 601878 603979 600519 600036 000581 603345 300973 002001 002142,1.175534
1954,003063-,银华通利混合C,0.00,混合型-灵活,中高风险,1.09亿元（2021-09-30）,1470326400,赵楠楠,银华基金,600577 601878 603979 600519 600036 000581 603345 300973 002001 002142,1.175534
1955,003065-,光大尊富18个月定开债A,0.06,债券型-长债,中低风险,11.04亿元（2021-09-30）,1506441600,沈荣,光大保德信基金管理,~,~
1956,003066-,光大尊富18个月定开债C,0.00,债券型-长债,中低风险,0.05亿元（2021-09-30）,1506441600,沈荣,光大保德信基金管理,~,~
1957,003069-,光大创业板量化优选A,0.15,股票型,高风险,1.15亿元（2021-09-30）,1518451200,翟云飞,光大保德信基金管理,300750 300059 300760 300014 300122 300450 300037 300274 300661 300142,~
1958,003070-,光大创业板量化优选C,0.00,股票型,高风险,1.41亿元（2021-09-30）,1577894400,翟云飞,光大保德信基金管理,300750 300059 300760 300014 300122 300450 300037 300274 300661 300142,~
1959,003071-,中融睿祥纯债A,0.06,债券型-长债,中低风险,15.04亿元（2021-09-30）,1503504000,王玥,中融基金,~,~
1960,003072-,中融睿祥纯债C,0.00,债券型-长债,中低风险,6.12亿元（2021-09-30）,1503504000,王玥,中融基金,~,~
1961,003073-,泰达宏利汇利债券A,0.08,债券型-长债,中低风险,0.05亿元（2021-09-30）,1472486400,高春梅,泰达宏利基金,~,"1.010303,1.019658,1.019547,1.019649"
1962,003074-,泰达宏利汇利债券C,0.00,债券型-长债,中低风险,0.01亿元（2021-09-30）,1472486400,高春梅,泰达宏利基金,~,"1.010303,1.019658,1.019547,1.019649"
1963,003078-,泰康安惠纯债债券A,0.08,债券型-长债,中低风险,49.68亿元（2021-09-30）,1482681600,任翀,泰康资产,~,~
1964,003081-,中融1-3年中高等级信用债A,0.04,债券型-长债,中低风险,6.31亿元（2021-09-30）,1482768000,朱柏蓉,中融基金,~,~
1965,003082-,中融1-3年中高等级信用债C,0.00,债券型-长债,中低风险,0.01亿元（2021-09-30）,1482768000,朱柏蓉,中融基金,~,~
1966,003083-,中融1-3年高等级信用债A,0.04,债券型-长债,中低风险,0.00亿元（2021-12-03）,1482336000,朱柏蓉,中融基金,~,1.018006
1967,003084-,中融1-3年高等级信用债C,0.00,债券型-长债,中低风险,0.00亿元（2021-12-03）,1482336000,朱柏蓉,中融基金,~,1.018006
1968,003092-,华商丰利增强定开债A,0.08,债券型-混合债,中风险,0.54亿元（2021-09-30）,1474300800,厉骞,华商基金,600808 002110 000959 000898 600507 300472 600019 000825 002886 000731,"1.132017,1.019649,0.127018,0.123046"
1969,003093-,华商丰利增强定开债C,0.00,债券型-混合债,中风险,0.84亿元（2021-09-30）,1474300800,厉骞,华商基金,600808 002110 000959 000898 600507 300472 600019 000825 002886 000731,"1.132017,1.019649,0.127018,0.123046"
1970,003095-,中欧医疗健康混合A,0.15,混合型-偏股,中高风险,312.68亿元（2021-09-30）,1475078400,葛兰,中欧基金,603259 300015 002821 300347 300759 600763 300363 300122 300760 688202,~
1971,003096-,中欧医疗健康混合C,0.00,混合型-偏股,中高风险,321.72亿元（2021-09-30）,1475078400,葛兰,中欧基金,603259 300015 002821 300347 300759 600763 300363 300122 300760 688202,~
1972,003102-,长盛盛裕纯债A,0.08,债券型-长债,中低风险,17.72亿元（2021-09-30）,1470240000,王贵君,长盛基金,~,"1.155441,1.155417,1.019654"
1973,003103-,长盛盛裕纯债C,0.00,债券型-长债,中低风险,0.00亿元（2021-09-30）,1470240000,王贵君,长盛基金,~,"1.155441,1.155417,1.019654"
1974,003105-,光大永鑫混合A,0.08,混合型-灵活,中高风险,7.86亿元（2021-09-30）,1471536000,詹佳等,光大保德信基金管理,601398 300059 300347 600519 000858 603259 601888 000630 000001 300416,"1.019654,1.010303,1.019641,1.018008,1.018006"
1975,003106-,光大永鑫混合C,0.00,混合型-灵活,中高风险,0.65亿元（2021-09-30）,1471536000,詹佳等,光大保德信基金管理,601398 300059 300347 600519 000858 603259 601888 000630 000001 300416,"1.019654,1.010303,1.019641,1.018008,1.018006"
1976,003107-,光大安祺债券A,0.08,债券型-混合债,中风险,5.42亿元（2021-09-30）,1484064000,黄波,光大保德信基金管理,002135 601377 600409 300122 300873 603657 603259 002129 002271 002335,1.019654
1977,003108-,光大安祺债券C,0.00,债券型-混合债,中风险,0.05亿元（2021-09-30）,1484064000,黄波,光大保德信基金管理,002135 601377 600409 300122 300873 603657 603259 002129 002271 002335,1.019654
1978,003109-,光大安和债券A,0.08,债券型-混合债,中风险,14.96亿元（2021-09-30）,1483545600,沈荣等,光大保德信基金管理,600519 601398 600690 603259 000630 300059 000858 300347 603882 603369,1.175226
1979,003110-,光大安和债券C,0.00,债券型-混合债,中风险,2.95亿元（2021-09-30）,1483545600,沈荣等,光大保德信基金管理,600519 601398 600690 603259 000630 300059 000858 300347 603882 603369,1.175226
1980,003115-,光大诚鑫混合A,0.08,混合型-灵活,中高风险,1.59亿元（2021-09-30）,1481731200,翟云飞等,光大保德信基金管理,600809 300750 300037 000063 000858 603799 300725 002415 600309 300059,1.155042
1981,003116-,光大诚鑫混合C,0.00,混合型-灵活,中高风险,7.91亿元（2021-09-30）,1481731200,翟云飞等,光大保德信基金管理,600809 300750 300037 000063 000858 603799 300725 002415 600309 300059,1.155042
1982,003117-,光大吉鑫混合A,0.08,混合型-灵活,中高风险,6.34亿元（2021-09-30）,1471536000,房雷等,光大保德信基金管理,000002 300750 600886 600025 000001 600900 300454 300760 601668 601186,1.152827
1983,003118-,光大吉鑫混合C,0.00,混合型-灵活,中高风险,2.76亿元（2021-09-30）,1471536000,房雷等,光大保德信基金管理,000002 300750 600886 600025 000001 600900 300454 300760 601668 601186,1.152827
1984,003119-,博时鑫源混合A,0.08,混合型-灵活,中高风险,7.57亿元（2021-09-30）,1471968000,于冰等,博时基金,600426 601899 600900 002709 600905 002078 000651 000338 002142 000708,~
1985,003120-,博时鑫源混合C,0.08,混合型-灵活,中高风险,2.15亿元（2021-09-30）,1471968000,于冰等,博时基金,600426 601899 600900 002709 600905 002078 000651 000338 002142 000708,~
1986,003121-,中信保诚稳利债券A,0.08,债券型-长债,中低风险,15.96亿元（2021-09-30）,1470240000,吴胤希,中信保诚基金,~,~
1987,003123-,天治鑫利纯债债券A,0.06,债券型-长债,中低风险,0.01亿元（2021-09-30）,1481040000,郝杰,天治基金,~,"1.018006,1.019628,1.132015,1.132022,1.132008"
1988,003124-,天治鑫利纯债债券C,0.00,债券型-长债,中低风险,0.00亿元（2021-09-30）,1481040000,郝杰,天治基金,~,"1.018006,1.019628,1.132015,1.132022,1.132008"
1989,003125-,中科沃土沃鑫成长精选混合A,0.15,混合型-灵活,中高风险,0.57亿元（2021-09-30）,1477324800,徐伟,中科沃土基金,600519 002142 000001 600905 600036 601318 000858 601012 002415 300059,"1.019649,1.019654,1.010303,1.018006"
1990,003126-,长信易进混合A,0.08,混合型-偏债,中风险,1.88亿元（2021-09-30）,1482422400,陆莹等,长信基金,300059 600030 000776 603259 300750 601688 300760 002236 002415 600588,~
1991,003127-,长信易进混合C,0.00,混合型-偏债,中风险,5.16亿元（2021-09-30）,1482422400,陆莹等,长信基金,300059 600030 000776 603259 300750 601688 300760 002236 002415 600588,~
1992,003130-,中信保诚稳利债券C,0.00,债券型-长债,中低风险,0.00亿元（2021-09-30）,1470240000,吴胤希,中信保诚基金,~,~
1993,003131-,国寿安保强国智造混合,0.15,混合型-灵活,中高风险,5.30亿元（2021-09-30）,1474905600,李捷,国寿安保基金管理,600519 300470 000333 603345 600887 600036 300124 002475 002415 603195,"1.019654,1.019658,1.019649,1.018006"
1994,003132-,德邦新回报灵活配置混合,0.15,混合型-灵活,中高风险,3.01亿元（2021-09-30）,1484236800,戴鹤忠,德邦基金,000733 688012 002739 600905 300772 601225 603612 002221 600642 300144,~
1995,003133-,易方达裕鑫债券A,0.10,债券型-混合债,中风险,5.07亿元（2021-09-30）,1473004800,韩阅川,易方达基金,601799 002415 002241 603179 603259 600887 603806 300014 300274 000860,"1.163255,1.136051,1.175089,1.136067,1.155600"
1996,003134-,易方达裕鑫债券C,0.00,债券型-混合债,中风险,2.05亿元（2021-09-30）,1473004800,韩阅川,易方达基金,601799 002415 002241 603179 603259 600887 603806 300014 300274 000860,"1.163255,1.136051,1.136067,1.175089,1.155600"
1997,003135-,金元顺安沣楹债券,0.06,债券型-混合债,中风险,20.93亿元（2021-09-30）,1474473600,周博洋等,金元顺安基金,002812 603806 688598 300316 002459 000733 600110 688516 688599 600760,~
1998,003142-,鹏华弘达混合A,0.15,混合型-灵活,中高风险,5.91亿元（2021-09-30）,1470758400,刘方正,鹏华基金,600031 002050 002493 600309 000338 300441 601318 603909 002601 600905,"1.175299,0.111092"
1999,003143-,鹏华弘达混合C,0.00,混合型-灵活,中高风险,2.37亿元（2021-09-30）,1470758400,刘方正,鹏华基金,600031 002050 002493 600309 000338 300441 601318 603909 002601 600905,"1.175299,0.111092"
2000,003144-,华宝新机遇混合(LOF)C,0.00,混合型-灵活,中高风险,6.66亿元（2021-09-30）,1470240000,林昊,华宝基金,600036 600519 300059 000333 601838 002415 000568 000858 002142 600887,~
2001,003145-,中融竞争优势,0.15,股票型,高风险,1.40亿元（2021-09-30）,1473177600,柯海东,中融基金,601567 600011 000596 601012 688033 300059 600483 002466 000301 600702,"1.019654,1.113629"
2002,003146-,融通通优债券,0.08,债券型-长债,中低风险,0.02亿元（2021-09-30）,1470672000,王超,融通基金,~,"1.019536,1.019541,1.018006,1.122749"
2003,003147-,大成动态量化混合,0.15,混合型-灵活,中高风险,2.79亿元（2021-09-30）,1474300800,夏高等,大成基金,600519 000568 600085 600332 600905 002475 600276 600875 000858 601888,"1.019654,1.155539"
2004,003152-,华富天鑫灵活配置混合A,0.15,混合型-灵活,中高风险,1.69亿元（2021-09-30）,1482940800,陈启明,华富基金,002415 603939 603986 300363 300274 002153 000830 300763 600905 300750,~
2005,003153-,华富天鑫灵活配置混合C,0.00,混合型-灵活,中高风险,0.19亿元（2021-09-30）,1482940800,陈启明,华富基金,002415 603939 603986 300363 300274 002153 000830 300763 600905 300750,~
2006,003154-,华宝新活力混合,0.00,混合型-灵活,中高风险,10.31亿元（2021-09-30）,1473177600,林昊,华宝基金,600036 600519 000333 000858 002142 300059 002415 000568 601016 601628,~
2007,003155-,中加丰尚纯债债券,0.0,债券型-长债,~,22.12亿元（2021-09-30）,1471536000,王霈,中加基金,~,1.175175
2008,003156-,招商招悦纯债A,0.0,债券型-长债,~,31.06亿元（2021-09-30）,1471968000,夏里鹏等,招商基金,~,~
2009,003157-,招商招悦纯债C,0.0,债券型-长债,~,0.04亿元（2021-09-30）,1471968000,夏里鹏等,招商基金,~,~
2010,003159-,万家恒瑞18个月定开债A,0.0,债券型-长债,~,5.08亿元（2021-09-30）,1471190400,陈奕雯,万家基金,~,"1.175935,1.163883,1.188357"
2011,003160-,万家恒瑞18个月定开债C,0.0,债券型-长债,~,0.00亿元（2021-09-30）,1471190400,陈奕雯,万家基金,~,"1.175935,1.163883,1.188357"
2012,003161-,南方安泰混合A,0.12,混合型-偏债,中风险,111.10亿元（2021-09-30）,1474473600,孙鲁闽等,南方基金,601166 000001 600176 600519 601877 600309 600741 601009 600323 300750,~
2013,003162-,博时富宁纯债债券,0.08,债券型-长债,中低风险,30.99亿元（2021-09-30）,1471363200,李秋实,博时基金,~,~
2014,003163-,金鹰添益3个月定开债,0.08,债券型-长债,中低风险,21.53亿元（2021-09-30）,1471536000,黄倩倩等,金鹰基金,~,1.127924
2015,003165-,鹏华弘嘉混合A类,0.08,混合型-灵活,中高风险,0.99亿元（2021-09-30）,1471536000,汤志彦,鹏华基金,601677 600905 002236 300873 300659 000733 002979 603113 300470 603855,~
2016,003166-,鹏华弘嘉混合C类,0.08,混合型-灵活,中高风险,0.52亿元（2021-09-30）,1471536000,汤志彦,鹏华基金,601677 600905 002236 300873 300659 000733 002979 603113 300470 603855,~
2017,003167-,前海开源鼎瑞债券A,0.08,债券型-混合债,中风险,21.64亿元（2021-09-30）,1471276800,吴国清等,前海开源基金,300059 300750 002709 300274 600111 002371 002812 601888 300759 600132,"0.112729,1.173789,1.175630"
2018,003168-,前海开源鼎瑞债券C,0.00,债券型-混合债,中风险,0.00亿元（2021-09-30）,1471276800,吴国清等,前海开源基金,300059 300750 002709 300274 600111 002371 002812 601888 300759 600132,"0.112729,1.173789,1.175630"
2019,003169-,长盛盛辉混合A,0.08,混合型-偏债,中高风险,2.56亿元（2021-09-30）,1471276800,李琪,长盛基金,300750 603259 600036 002812 600519 002594 601012 600188 000858 002142,~
2020,003170-,长盛盛辉混合C,0.00,混合型-偏债,中高风险,0.46亿元（2021-09-30）,1471276800,李琪,长盛基金,300750 603259 600036 002812 600519 002594 601012 600188 000858 002142,~
2021,003173-,民生加银鑫安纯债C,0.0,债券型-长债,~,0.00亿元（2021-09-30）,1473350400,张玓等,民生加银基金,~,~
2022,003174-,前海联合添惠纯债A,0.08,债券型-长债,中低风险,0.01亿元（2021-09-30）,1523289600,黄浩东,前海联合,~,"1.019658,1.019641,0.149373,1.019547,1.122374"
2023,003175-,华泰柏瑞多策略混合,0.15,混合型-灵活,中高风险,0.19亿元（2021-09-30）,1475078400,董辰,华泰柏瑞基金,000975 600547 600489 002353 600048 600406 002003 603916 600150 002013,1.019658
2024,003176-,德邦景颐债券A,0.06,债券型-混合债,中风险,3.23亿元（2021-09-30）,1472140800,范文静等,德邦基金,600036 002601 600745 002352 002459 600377 688598 002415 600584 000786,~
2025,003177-,德邦景颐债券C,0.00,债券型-混合债,中风险,0.00亿元（2021-09-30）,1472140800,范文静等,德邦基金,600036 002601 600745 002352 002459 600377 688598 002415 600584 000786,~
2026,003179-,山西裕利定开债,0.0,债券型-长债,~,12.91亿元（2021-09-30）,1471968000,刘凌云等,山西证券,~,~
2027,003180-,前海联合添利债券A,0.08,债券型-混合债,中风险,1.12亿元（2021-09-30）,1478793600,黄浩东,前海联合,300083 600519 002597 600570 000333 002044 600690 300144 002415 600031,"0.112729,1.163927,1.163290,1.132011,1.132008"
2028,003181-,前海联合添利债券C,0.00,债券型-混合债,中风险,0.02亿元（2021-09-30）,1478793600,黄浩东,前海联合,300083 600519 002597 600570 000333 002044 600690 300144 002415 600031,"0.112729,1.163927,1.163290,1.132011,1.132008"
2029,003182-,华富弘鑫混合A,0.15,混合型-灵活,中高风险,4.19亿元（2021-09-30）,1480262400,张惠,华富基金,601988 000001 600905 002142 601728 000932 601288 002709 600036 300957,~
2030,003183-,华富弘鑫混合C,0.00,混合型-灵活,中高风险,3.10亿元（2021-09-30）,1480262400,张惠,华富基金,601988 000001 600905 002142 601728 000932 601288 002709 600036 300957,~
2031,003184-,财通中证ESG100指数增强C,0.0,指数型-股票,~,0.00亿元（2021-03-31）,1492099200,朱海东,财通基金,600690 002142 000333 600309 000858 600958 000338 600741 600900 601600,0.123111
2032,003186-,鹏华兴安定期开放混合,0.12,混合型-灵活,中高风险,4.30亿元（2021-09-30）,1474905600,李韵怡,鹏华基金,601398 600900 601012 600905 601888 300750 600048 603259 000063 002493,"1.163756,1.163774,1.175797,1.155772,1.163763"
2033,003187-,嘉实安益混合,0.00,混合型-灵活,中高风险,2.22亿元（2021-09-30）,1472054400,赖礼辉等,嘉实基金,601117 600905 603113,"1.132015,1.143520,1.152288"
2034,003188-,博时聚源纯债债券A,0.08,债券型-长债,中低风险,38.84亿元（2021-09-30）,1486569600,黄海峰,博时基金,~,~
2035,003189-,汇添富保鑫灵活配置混合A,0.06,混合型-灵活,中高风险,1.06亿元（2021-09-30）,1475078400,吴江宏等,汇添富基金,600519 600036 601728 600809 603259 002415 002493 600309 601677 300274,"1.155223,1.175715,1.175726,0.149342"
2036,003190-,创金合信消费主题股票A,0.15,股票型,高风险,0.58亿元（2021-09-30）,1471795200,陈建军,创金合信基金,000858 600519 000568 601888 600809 688005 300896 002714 600702 600690,~
2037,003191-,创金合信消费主题股票C,0.00,股票型,高风险,2.22亿元（2021-09-30）,1471795200,陈建军,创金合信基金,000858 600519 000568 601888 600809 688005 300896 002714 600702 600690,~
2038,003192-,创金合信尊丰纯债,0.08,债券型-长债,中低风险,9.00亿元（2021-09-30）,1472745600,郑振源,创金合信基金,~,~
2039,003193-,创金合信尊智纯债债券A,0.0,债券型-长债,~,2.09亿元（2021-09-30）,1497542400,郑振源,创金合信基金,~,"1.163241,1.155259,1.019641"
2040,003194-,汇添富中证上海国企ETF联接,0.12,指数型-股票,高风险,2.38亿元（2021-09-30）,1474128000,董瑾,汇添富基金,600009 600104 601601 600018 600741 600000 600606 600848 601727 600663,~
2041,003195-,光大永利纯债A,0.0,债券型-长债,~,6.71亿元（2021-09-30）,1487260800,邹强,光大保德信基金管理,~,~
2042,003196-,光大永利纯债C,0.0,债券型-长债,~,0.00亿元（2021-09-30）,1487260800,邹强,光大保德信基金管理,~,~
2043,003197-,光大安诚债券A,0.08,债券型-混合债,中风险,0.01亿元（2021-09-30）,1490630400,邹强,光大保德信基金管理,600519 600048 600426 002466 600958 300751,"1.019649,1.113046,0.123104,0.123097,0.127033"
2044,003198-,光大安诚债券C,0.00,债券型-混合债,中风险,0.27亿元（2021-09-30）,1490630400,邹强,光大保德信基金管理,600519 600048 600426 002466 600958 300751,"1.019649,1.113046,0.123104,0.123097,0.127033"
2045,003199-,长盛盛琪一年债券A,0.06,债券型-长债,中低风险,0.53亿元（2021-09-30）,1474905600,王赛飞,长盛基金,~,"1.163420,1.163495,1.163500"
2046,003200-,长盛盛琪一年债券C,0.00,债券型-长债,中低风险,0.01亿元（2021-09-30）,1474905600,王赛飞,长盛基金,~,"1.163420,1.163495,1.163500"
2047,003204-,财通收益增强债券C,0.00,债券型-混合债,中风险,2.35亿元（2021-09-30）,1492099200,杨烨超,财通基金,002291 002268 600893 002466 002371,"1.019654,1.110059,0.128095"
2048,003205-,财通可转债债券C,0.0,债券型-可转债,~,0.02亿元（2021-09-30）,1492099200,杨烨超,财通基金,601888 002049 300604 600763 300015 002371 002709 600399 300750 600893,"1.113042,1.110059,1.113021,0.123111"
2049,003207-,博时富发纯债,0.08,债券型-长债,中低风险,3.23亿元（2021-09-30）,1473177600,郭思洁,博时基金,~,~
2050,003209-,鹏华丰达债券,0.08,债券型-长债,中低风险,1.71亿元（2021-09-30）,1472486400,杜培俊等,鹏华基金,~,~
2051,003210-,博时智臻纯债债券,0.08,债券型-长债,中低风险,11.23亿元（2021-09-30）,1472486400,程卓,博时基金,~,~
2052,003213-,中银悦享定期开放债券发起式,0.0,债券型-长债,~,215.58亿元（2021-09-30）,1474992000,白洁,中银基金,~,~
2053,003214-,易方达富惠纯债债券,0.0,债券型-长债,~,44.74亿元（2021-09-30）,1471968000,胡剑,易方达基金,~,0.112872
2054,003218-,前海开源祥和债券A,0.08,债券型-混合债,中风险,13.46亿元（2021-09-30）,1480262400,章俊,前海开源基金,600141 000683 600096 002532 000933,1.019658
2055,003219-,前海开源祥和债券C,0.00,债券型-混合债,中风险,2.68亿元（2021-09-30）,1480262400,章俊,前海开源基金,600141 000683 600096 002532 000933,1.019658
2056,003220-,浙商惠利纯债债券,0.08,债券型-长债,中低风险,10.07亿元（2021-09-30）,1474905600,赵柳燕等,浙商基金,~,~
2057,003221-,新华丰利债券A,0.08,债券型-混合债,中风险,0.07亿元（2021-09-30）,1477411200,赵楠,新华基金,601888,1.018006
2058,003222-,新华丰利债券C,0.00,债券型-混合债,中风险,0.50亿元（2021-09-30）,1477411200,赵楠,新华基金,601888,1.018006
2059,003223-,广发景丰纯债,0.0,债券型-长债,~,8.00亿元（2021-09-30）,1479830400,吴迪,广发基金,~,~
2060,003226-,信诚稳健债券A,0.08,债券型-长债,中低风险,10.53亿元（2021-09-30）,1472745600,邢恭海,中信保诚基金,~,"1.163052,1.188343,1.188357,1.163220,1.163278"
2061,003227-,信诚稳健债券C,0.00,债券型-长债,中低风险,0.01亿元（2021-09-30）,1472745600,邢恭海,中信保诚基金,~,"1.163052,1.188343,1.188357,1.163220,1.163278"
2062,003230-,创金合信医疗保健股票A,0.15,股票型,高风险,4.42亿元（2021-09-30）,1472486400,皮劲松,创金合信基金,603392 300760 688198 688050 300595 002821 603127 688016 300015 688356,~
2063,003231-,创金合信医疗保健股票C,0.00,股票型,高风险,4.25亿元（2021-09-30）,1472486400,皮劲松,创金合信基金,603392 300760 688198 688050 300595 002821 603127 688016 300015 688356,~
2064,003232-,创金合信金融地产A,0.15,股票型,高风险,0.15亿元（2021-09-30）,1472486400,李龑,创金合信基金,002142 600030 600036 300059 000001 000776 600048 601838 601166 000002,"1.019649,1.018006"
2065,003233-,创金合信金融地产C,0.00,股票型,高风险,0.13亿元（2021-09-30）,1472486400,李龑,创金合信基金,002142 600030 600036 300059 000001 000776 600048 601838 601166 000002,"1.019649,1.018006"
2066,003234-,信诚至利混合A,0.08,混合型-灵活,中风险,4.50亿元（2021-09-30）,1472745600,王颖,中信保诚基金,600036 002142 601166 002291 002938 600926 600905 601939 601658 603939,~
2067,003235-,信诚至利混合C,0.00,混合型-灵活,中风险,5.43亿元（2021-09-30）,1472745600,王颖,中信保诚基金,600036 002142 601166 002291 002938 600926 600905 601939 601658 603939,~
2068,003238-,新华外延增长主题灵活配置混合,0.15,混合型-灵活,中高风险,0.59亿元（2021-09-30）,1488384000,张霖,新华基金,002594 600893 600905 002371 600690 002901 601377 600882 600702 601899,~
